trial_number,changed_parameter,population_size,max_iterations,rho,temperature_start,temperature_min,total_ant_updates,mean_fitness,best_gap_percent,mean_gap_percent,worst_gap_percent,gap_standard_deviation,score,accepted_as_current,new_global_best,tuning_temperature,runtime_seconds,cache_hit
27,population_size,40,5000,0.15,0.01,0.0001,200000,33800.6,5.3001485345795745,22.45263196029417,55.00851356736587,20.975524669868243,27.69651312776123,no,no,0.05448177226584068,0.0,yes
28,population_size,40,5000,0.15,0.01,0.0001,200000,33800.6,5.3001485345795745,22.45263196029417,55.00851356736587,20.975524669868243,27.69651312776123,no,no,0.04578909318417073,0.0,yes
29,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.03848334897033505,0.0,yes
30,population_size,20,10000,0.15,0.01,0.0001,200000,32999.6,4.6987646270332935,19.550773466652174,35.065029163496725,11.114806703830432,22.32947514260978,no,no,0.032343251306941316,0.0,yes
31,rho,30,6666,0.2,0.01,0.0001,199980,32208.8,1.6701083215592507,16.68586747817266,28.822954026736223,11.986330518883166,19.68245010789345,no,no,0.027182818883833067,0.0,yes
32,rho,30,6666,0.1,0.01,0.0001,199980,34310.6,1.6701083215592507,24.300257218418288,39.050103249646774,19.041401236303454,29.060607527494152,no,no,0.022845744092298226,0.0,yes
33,population_size,20,10000,0.15,0.01,0.0001,200000,32999.6,4.6987646270332935,19.550773466652174,35.065029163496725,11.114806703830432,22.32947514260978,no,no,0.019200658524830015,0.0,yes
34,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.01613715387416127,0.0,yes
35,population_size,40,5000,0.15,0.01,0.0001,200000,33800.6,5.3001485345795745,22.45263196029417,55.00851356736587,20.975524669868243,27.69651312776123,no,no,0.0135624377060611,0.0,yes
36,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.011398522810475967,0.0,yes
37,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.009579864997490563,0.0,yes
38,rho,30,6666,0.1,0.01,0.0001,199980,34310.6,1.6701083215592507,24.300257218418288,39.050103249646774,19.041401236303454,29.060607527494152,no,no,0.008051377787812907,0.0,yes
39,rho,30,6666,0.2,0.01,0.0001,199980,32208.8,1.6701083215592507,16.68586747817266,28.822954026736223,11.986330518883166,19.68245010789345,no,no,0.0067667638634853165,0.0,yes
40,rho,30,6666,0.2,0.01,0.0001,199980,32208.8,1.6701083215592507,16.68586747817266,28.822954026736223,11.986330518883166,19.68245010789345,no,no,0.0056871127390743115,0.0,yes
41,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.004779722177313052,0.0,yes
42,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.004017107650307775,0.0,yes
43,rho,30,6666,0.1,0.01,0.0001,199980,34310.6,1.6701083215592507,24.300257218418288,39.050103249646774,19.041401236303454,29.060607527494152,no,no,0.0033761698432507774,0.0,yes
44,rho,30,6666,0.2,0.01,0.0001,199980,32208.8,1.6701083215592507,16.68586747817266,28.822954026736223,11.986330518883166,19.68245010789345,no,no,0.0028374949846322033,0.0,yes
45,rho,30,6666,0.1,0.01,0.0001,199980,34310.6,1.6701083215592507,24.300257218418288,39.050103249646774,19.041401236303454,29.060607527494152,no,no,0.0023847668102089797,0.0,yes
46,temperature_min,30,6666,0.15,0.01,0.0003,199980,31884.8,6.325399413107271,15.512082020070283,31.19226171068362,9.545506443197421,17.898458630869637,no,no,0.0020042723493347344,0.0,yes
47,population_size,20,10000,0.15,0.01,0.0001,200000,32999.6,4.6987646270332935,19.550773466652174,35.065029163496725,11.114806703830432,22.32947514260978,no,no,0.001684486564099637,0.0,yes
48,population_size,40,5000,0.15,0.01,0.0001,200000,33800.6,5.3001485345795745,22.45263196029417,55.00851356736587,20.975524669868243,27.69651312776123,no,no,0.001415723260151763,0.0,yes
49,temperature_start,30,6666,0.15,0.03,0.0001,199980,33723.8,9.372169691700178,22.17440133318842,37.02133826033402,10.947068837431491,24.911168542546292,no,no,0.0011898416954165638,38.9261669999687,no
50,temperature_start,30,6666,0.15,0.03,0.0001,199980,33723.8,9.372169691700178,22.17440133318842,37.02133826033402,10.947068837431491,24.911168542546292,no,no,0.001,0.0,yes
