experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,total_fitness_evaluations,best_route
v9-edge-memory-final-50runs,v9,wi29,40,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,35.63575559800029,22430,154152,16191,8200,175589,3,8700,34800,0,3,0,0,0,0,0,8443,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396169,2706396,91518,173677,173677,0,6991,6670,6.020359718660016,1041.9913056996609,12542,100.0,65420810,12542,173677,0,243259,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,41,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,35.55812088899984,22466,153851,16628,8325,175027,3,7696,30783,1,3,0,0,0,0,0,10216,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412670,2706396,91995,174611,174611,0,7561,6669,6.068708923550075,1064.679848348615,13122,100.0,65564534,13122,174611,0,241015,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,42,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,37.110570836999614,22641,153405,17531,8419,174030,4,10406,41623,1,4,0,0,0,0,0,10721,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402201,2706396,91532,173904,173904,0,7199,6670,6.111114446183117,1090.0330872205354,12732,100.0,65435832,12732,173904,0,252362,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,43,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,35.335124737000115,21740,155008,20136,8061,171783,3,6965,27858,1,3,0,0,0,0,0,7249,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393153,2706396,90082,171348,171348,0,6888,6669,6.091742593788765,1092.4032261829727,12422,100.0,64523956,12422,171348,0,235123,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v9-edge-memory-final-50runs,v9,wi29,44,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,37.63544002300023,21126,156429,16400,8016,175564,3,8700,34800,0,3,0,0,0,0,0,9129,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394226,2706396,91916,175127,175127,0,6924,6670,6.048410519037107,1069.264345303694,12585,100.0,65992052,12585,175127,0,243945,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,45,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,32.72954900200057,23405,152088,17034,8230,174716,1,2900,11600,0,1,0,0,0,0,0,7582,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404927,2706396,91477,173249,173249,0,7295,6668,5.864511342895692,995.206488926343,12834,100.0,65128490,12834,173249,0,219194,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,46,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27750,27603,147,0.5325508096945984,no,34.128606811999816,21492,155817,19386,7627,172967,1,2900,11600,0,1,0,0,0,0,0,7844,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399910,2706396,90672,172136,172136,0,7122,6668,6.27313595353355,1062.3361528094065,12696,100.0,64732640,12696,172136,0,219456,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,47,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,36.44461690400021,20383,157829,14440,10322,175218,3,8700,34800,0,3,0,0,0,0,0,6871,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371577,2706396,92622,176896,176896,0,6143,6670,6.195689434641442,1028.0971927007959,11923,100.0,66979038,11923,176896,0,241687,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,48,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,35.47085448500002,23475,151892,17973,7798,174209,3,7687,30747,1,3,0,0,0,0,0,9330,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402201,2706396,90689,171517,171517,0,7200,6669,5.897728395907383,996.0339383268131,12686,100.0,64485386,12686,171517,0,240093,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,49,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,33.64334452799994,22847,153037,16661,8782,174537,2,5800,23200,0,2,0,0,0,0,0,8459,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406435,2706396,91590,173188,173188,0,7346,6669,5.939348889990932,1016.5521110007621,12827,100.0,65106566,12827,173188,0,231673,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,50,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,34.18809890299963,21828,155129,21403,8101,170476,2,5800,23200,0,2,0,0,0,0,0,8140,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399591,2706396,89256,169538,169538,0,7110,6669,6.2044842583319815,1127.70322877467,12690,100.0,63680288,12690,169538,0,231354,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
