experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v3-2opt-3opt-50runs,v3,wi29,30,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29489,27603,1886,6.83259066043546,no,10.301214876000813,6970,185936,173553,277,26150,0,0,0,0,1,0,0,0,0,0,9039,68,209050,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 17, 13, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,31,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28044,27603,441,1.5976524290837952,no,9.795734176999758,6551,186452,174668,249,25063,0,0,0,0,2,0,0,0,0,0,8193,65,208205,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v3-2opt-3opt-50runs,v3,wi29,32,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,10.092427318999398,7450,184935,172432,378,27170,0,0,0,0,1,0,0,0,0,0,8160,57,208171,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,33,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,9.5400662309994,6417,187046,176385,282,23313,0,0,0,0,1,0,0,0,0,0,8674,52,208685,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,34,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28590,27603,987,3.575698293663732,no,10.140204899999844,7536,184493,171510,342,28128,0,0,0,0,1,0,0,0,0,0,6799,57,206810,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,35,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28779,27603,1176,4.260406477556788,no,10.23762185600026,7573,184726,171806,355,27819,0,0,0,0,1,0,0,0,0,0,8222,56,208233,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,36,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28031,27603,428,1.550556098974749,no,11.317665481999938,7736,184454,171266,571,28143,0,0,0,0,1,0,0,0,0,0,7426,51,207437,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,37,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,29071,27603,1468,5.318262507698439,no,11.862581102999684,8363,183013,168141,411,31428,0,0,0,0,1,0,0,0,0,0,9418,60,209429,"[0, 1, 5, 10, 9, 7, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 2, 3, 4]"
v3-2opt-3opt-50runs,v3,wi29,38,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28044,27603,441,1.5976524290837952,no,9.873104169000726,6702,186135,173288,423,26269,0,0,0,0,2,0,0,0,0,0,8541,68,208553,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v3-2opt-3opt-50runs,v3,wi29,39,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,9.25552930899994,7065,185753,173497,414,26069,0,0,0,0,2,0,0,0,0,0,7417,50,207429,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
